# pythia: 8310
# beam_energy: 120.0
# ptcut: 10000
# seed: 725
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 38.4539120420  
# tau_xsec_mb: 0.0000116910   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 -15 1.0372222026e+01 -9.9114579674e-02 1.2846422693e+00 1.0137345362e+01 411 1.1439761104e+01 -1.3739108934e-01 1.4378855629e+00 1.1193134681e+01 1.2000000000e-03
1.0000000000e+00 2 -15 1.0327517622e+01 -2.0149128038e+00 5.1112950198e-01 9.9588856775e+00 411 1.1167427142e+01 -2.1602678367e+00 6.3159151516e-01 1.0777304164e+01 1.2000000000e-03
1.0000000000e+00 3 15 1.4805870061e+01 7.7777184581e-01 -9.7598865152e-01 1.4645791753e+01 -411 1.6063716290e+01 9.1606648084e-01 -1.0319949701e+00 1.5894757334e+01 1.2000000000e-03
1.0000000000e+00 4 15 1.6785253738e+01 -7.8133511672e-01 2.3652058599e-01 1.6670969594e+01 -411 1.7726441906e+01 -7.7421688472e-01 3.3010287930e-01 1.7607466712e+01 1.2000000000e-03
1.0000000000e+00 5 -15 7.6685591621e+00 7.1310029455e-02 -7.6605120451e-03 7.4595285713e+00 431 8.1008407423e+00 8.9617874186e-02 -1.8021535359e-01 7.8554540871e+00 5.3600000000e-02
1.0000000000e+00 6 15 9.0424704317e+00 5.8642799675e-01 -7.7642028889e-02 8.8464261776e+00 -431 9.2535486143e+00 6.8597739357e-01 -1.5802250541e-01 9.0143037990e+00 5.3600000000e-02
1.0000000000e+00 7 15 1.6416925840e+01 2.3653269240e-01 1.7177989046e-01 1.6317870838e+01 -411 1.6868594442e+01 2.4915385167e-01 9.3652705323e-02 1.6762552044e+01 1.2000000000e-03
1.0000000000e+00 8 15 1.3695695178e+01 -1.5926941026e+00 -8.5629807676e-01 1.3459013939e+01 -431 1.5073888003e+01 -1.9274884262e+00 -8.4497882654e-01 1.4795875973e+01 5.3600000000e-02
1.0000000000e+00 9 15 1.0116800507e+01 -1.7820753505e-01 1.0242610262e+00 9.9051347597e+00 -411 1.0248921958e+01 -2.1056631973e-01 9.8362925667e-01 1.0026617459e+01 1.2000000000e-03
1.0000000000e+00 10 15 2.6300890324e+01 1.3245739420e-01 4.9676577440e-01 2.6235766071e+01 -411 2.8768866379e+01 1.7594401263e-01 4.8900152018e-01 2.8703346756e+01 1.2000000000e-03
