# pythia: 8310
# beam_energy: 120.0
# ptcut: 10000
# seed: 675
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 0.0000000000   
# tau_xsec_mb: 0.0000000000   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 -15 1.1456458358e+01 -1.3586273484e-01 -7.7120948840e-01 1.1290709722e+01 411 1.2454921183e+01 -2.0799609059e-01 -7.9666278554e-01 1.2286238186e+01 1.2000000000e-03
1.0000000000e+00 2 15 8.5848516991e+00 1.1401151445e+00 -3.1631844221e-01 8.3152071221e+00 -431 8.6637926081e+00 1.1811957694e+00 -3.7647690532e-01 8.3456210775e+00 5.3600000000e-02
1.0000000000e+00 3 -15 4.3536736486e+00 -1.0369356364e-01 9.5016531755e-02 3.9721032754e+00 431 4.7482400447e+00 -1.2804581421e-02 2.7297962231e-01 4.3123252209e+00 5.3600000000e-02
1.0000000000e+00 4 15 3.5686388771e+01 3.1962990519e+00 1.4082325881e+00 3.5470576646e+01 -431 3.5706400760e+01 3.1812300462e+00 1.4153320676e+00 3.5481667279e+01 5.3600000000e-02
1.0000000000e+00 5 15 1.9266091242e+01 1.5521475451e+00 2.7705996667e-01 1.9119080998e+01 -411 1.9403091844e+01 1.5284295124e+00 2.4710170298e-01 1.9250645136e+01 1.2000000000e-03
1.0000000000e+00 6 -15 3.3474421913e+01 9.8582857616e-01 -1.3017498474e+00 3.3387324278e+01 411 3.3837841457e+01 1.0239401585e+00 -1.2654632828e+00 3.3746913707e+01 1.2000000000e-03
1.0000000000e+00 7 -15 1.2188390884e+01 4.5530287960e-01 3.5307823919e-01 1.2044410242e+01 411 1.2386334320e+01 5.1879040199e-01 3.2140277656e-01 1.2229200944e+01 1.2000000000e-03
1.0000000000e+00 8 15 2.1175482738e+01 3.3295156263e-01 -1.6017819470e-01 2.1097570147e+01 -411 2.3284647396e+01 3.2337618053e-01 -1.5383347592e-01 2.3206703525e+01 1.2000000000e-03
1.0000000000e+00 9 -15 1.8122235074e+01 -7.8200745992e-01 -5.9702730485e-01 1.8008063124e+01 431 2.2013244131e+01 -1.0404427270e+00 -7.1137868449e-01 2.1888795846e+01 5.3600000000e-02
1.0000000000e+00 10 15 2.3066601339e+01 -5.2197080393e-01 -1.3405306607e+00 2.2953028821e+01 -411 2.3467371606e+01 -5.8860202888e-01 -1.3238562100e+00 2.3347869358e+01 1.2000000000e-03
1.0000000000e+00 11 -15 1.1120657413e+01 -5.9385473260e-01 -4.7879300147e-01 1.0951256814e+01 431 1.2310206563e+01 -6.4435188038e-01 -3.2891707661e-01 1.2130245544e+01 5.3600000000e-02
1.0000000000e+00 12 15 1.5393883932e+01 1.1287195774e+00 7.2462201533e-01 1.5232054630e+01 -411 1.6219375904e+01 1.1547453769e+00 6.7498519760e-01 1.6055641808e+01 1.2000000000e-03
1.0000000000e+00 13 15 3.3008625191e+01 6.3549812322e-01 4.4290314792e-01 3.2951665005e+01 -411 3.6484568060e+01 6.7847784836e-01 4.8487109081e-01 3.6427088758e+01 1.2000000000e-03
1.0000000000e+00 14 15 2.3785688600e+01 -1.9497331368e+00 7.8853265626e-01 2.3625804744e+01 -411 2.4246112683e+01 -1.9462655178e+00 8.6428556099e-01 2.4079941078e+01 1.2000000000e-03
1.0000000000e+00 15 15 3.5320167647e+01 4.5127993348e-02 -5.1246335928e-02 3.5275380800e+01 -411 3.5840133842e+01 1.5055410096e-02 -1.0979538481e-01 3.5791164177e+01 1.2000000000e-03
1.0000000000e+00 16 -15 1.4118478020e+01 -2.4237497752e-01 -4.3365628999e-02 1.4004060343e+01 431 1.5940115083e+01 -4.1106820885e-01 9.6565895967e-02 1.5812463879e+01 5.3600000000e-02
1.0000000000e+00 17 15 1.7423493875e+01 -6.8758029797e-01 9.9978075717e-01 1.7290133639e+01 -431 2.0127526112e+01 -9.8221248926e-01 1.1622613879e+00 1.9973151018e+01 5.3600000000e-02
1.0000000000e+00 18 -15 1.5048902717e+01 -1.1225082332e-01 -3.5052200362e-01 1.4939106993e+01 411 1.5546649400e+01 -2.0369873499e-01 -3.5797981964e-01 1.5428324144e+01 1.2000000000e-03
1.0000000000e+00 19 -15 1.6434809047e+01 -2.6581251988e-01 3.3777158209e-01 1.6332823184e+01 411 1.6472113162e+01 -2.9152039624e-01 3.4218900542e-01 1.6359491301e+01 1.2000000000e-03
1.0000000000e+00 20 15 1.7080464800e+01 2.2776655860e-01 8.1376866474e-02 1.6986073374e+01 -411 1.8568165227e+01 1.7448038705e-01 9.9621508787e-02 1.8472707249e+01 1.2000000000e-03
1.0000000000e+00 21 -15 3.9830607061e+01 -8.1116574372e-01 -2.5965105565e+00 3.9697862822e+01 411 4.0424685430e+01 -7.6325353849e-01 -2.6622638815e+00 4.0286343942e+01 1.2000000000e-03
1.0000000000e+00 22 15 1.7780379069e+01 -2.1091716829e-01 6.1612022451e-01 1.7679386311e+01 -411 1.9461873962e+01 -1.9049880764e-01 6.2912298174e-01 1.9360706951e+01 1.2000000000e-03
1.0000000000e+00 23 15 1.5666805737e+01 -9.1850032128e-01 6.6853405175e-03 1.5538597914e+01 -431 1.6535895891e+01 -1.0628510684e+00 1.5224767951e-01 1.6383164172e+01 5.3600000000e-02
1.0000000000e+00 24 15 2.7201746989e+01 -3.6882837231e-01 -1.1793976090e+00 2.7115511001e+01 -411 2.7259891719e+01 -3.4464157723e-01 -1.1889643352e+00 2.7167513754e+01 1.2000000000e-03
1.0000000000e+00 25 -15 2.5979963909e+01 7.0588227175e-01 6.0729035950e-02 2.5909447651e+01 431 3.0154343817e+01 8.9588239669e-01 2.3770549212e-01 3.0075744197e+01 5.3600000000e-02
1.0000000000e+00 26 15 4.3985543853e+01 2.0862949364e+00 -7.6915913344e-01 4.3893356518e+01 -431 4.5343901512e+01 2.1927312255e+00 -9.2439711296e-01 4.5238610403e+01 5.3600000000e-02
1.0000000000e+00 27 15 2.0394320808e+01 -7.3430907922e-01 -6.9313480159e-01 2.0291662974e+01 100443 3.5742577161e+01 -1.2303551212e+00 -4.9623693069e-01 3.5527379344e+01 3.1000000000e-03
1.0000000000e+00 28 -15 1.5348256353e+01 -4.9604604196e-01 1.9689787090e-01 1.5235716370e+01 100443 3.5742577161e+01 -1.2303551212e+00 -4.9623693069e-01 3.5527379344e+01 3.1000000000e-03
1.0000000000e+00 29 -15 1.5917873533e+01 -1.3462877699e+00 -5.7311988944e-01 1.5750576222e+01 411 1.7427350887e+01 -1.4786068322e+00 -5.6766568397e-01 1.7254233032e+01 1.2000000000e-03
1.0000000000e+00 30 15 1.4824869329e+01 -1.0177900017e+00 -6.8724687304e-01 1.4666678443e+01 -431 1.6023207936e+01 -1.1128276191e+00 -9.3501747758e-01 1.5835264339e+01 5.3600000000e-02
1.0000000000e+00 31 15 7.3295280428e+00 6.7864814465e-01 4.6247199310e-02 7.0782900414e+00 -411 7.6615990296e+00 6.9818659009e-01 -4.5044132341e-02 7.3969674365e+00 1.2000000000e-03
1.0000000000e+00 32 15 2.3295656321e+01 2.7629228161e-01 5.2197811794e-01 2.3220286723e+01 -411 2.4566985877e+01 2.2303099552e-01 4.8422073215e-01 2.4489938824e+01 1.2000000000e-03
1.0000000000e+00 33 15 1.0225132892e+01 -9.0143212476e-01 1.9318725553e+00 9.8413180978e+00 -411 1.0323950795e+01 -9.5435765667e-01 1.9731425894e+00 9.9138484382e+00 1.2000000000e-03
1.0000000000e+00 34 -15 1.4068838429e+01 5.3103212633e-01 -1.4102641208e-01 1.3945366322e+01 431 1.6061935756e+01 4.1097416071e-01 -1.6417334142e-01 1.5934709746e+01 5.3600000000e-02
1.0000000000e+00 35 15 1.5862375868e+01 2.3659817023e-02 6.8253054982e-01 1.5747744954e+01 -411 1.7127841428e+01 8.5699199107e-02 7.9422882672e-01 1.7006743641e+01 1.2000000000e-03
1.0000000000e+00 36 -15 4.4332156506e+01 -1.5758215614e+00 6.7286927470e-01 4.4263382660e+01 411 4.5153739203e+01 -1.5698780608e+00 7.4816182634e-01 4.5081486464e+01 1.2000000000e-03
1.0000000000e+00 37 15 1.6181913252e+01 -3.5496014788e-02 2.8963542711e-01 1.6081420290e+01 -411 1.6528080843e+01 -6.0357879184e-02 3.6762565453e-01 1.6417770424e+01 1.2000000000e-03
1.0000000000e+00 38 15 3.8253319297e+00 4.5114975150e-01 4.0831442805e-01 3.3325393156e+00 -411 4.1233053932e+00 5.4658663715e-01 4.9936185134e-01 3.5997290468e+00 1.2000000000e-03
1.0000000000e+00 39 -15 2.2242254660e+01 -3.5865863802e-01 -5.1332593067e-01 2.2162325318e+01 411 2.4084286279e+01 -3.8883319293e-01 -4.7624610078e-01 2.4003736480e+01 1.2000000000e-03
1.0000000000e+00 40 15 1.1654426682e+01 -9.9827372614e-01 -3.2505599264e-01 1.1470238016e+01 -411 1.2200162536e+01 -9.5077097901e-01 -3.4022075471e-01 1.2013690996e+01 1.2000000000e-03
1.0000000000e+00 41 15 1.2743394212e+01 9.2793341228e-01 -3.8611341278e-01 1.2578825968e+01 -431 1.3005337028e+01 9.5371738653e-01 -2.8020060529e-01 1.2817010146e+01 5.3600000000e-02
1.0000000000e+00 42 -15 1.9908753378e+01 -1.8331735706e+00 -1.4945493525e+00 1.9687741583e+01 411 2.0087254369e+01 -1.8015672001e+00 -1.5292478277e+00 1.9859961375e+01 1.2000000000e-03
1.0000000000e+00 43 -15 1.0861548045e+01 9.9729289751e-02 -1.6178452746e-01 1.0713543599e+01 431 1.2171862716e+01 3.1332357213e-01 -1.7609814268e-01 1.2006252824e+01 5.3600000000e-02
1.0000000000e+00 44 15 2.2177417312e+01 -3.3217341657e-01 -8.1386011623e-01 2.2088640561e+01 -411 2.4072792172e+01 -4.3595519214e-01 -8.7071938223e-01 2.3980317655e+01 1.2000000000e-03
1.0000000000e+00 45 -15 1.2923059627e+01 -2.3152107979e+00 -8.4383871834e-02 1.2588926052e+01 431 1.3234107584e+01 -2.4349824559e+00 -1.8705027596e-01 1.2857002889e+01 5.3600000000e-02
1.0000000000e+00 46 15 2.8209908578e+01 3.7480361538e-01 2.7335701729e-01 2.8150073727e+01 -431 2.9030489593e+01 4.8308054214e-01 1.8840687488e-01 2.8959031565e+01 5.3600000000e-02
1.0000000000e+00 47 15 3.3942095625e+01 4.6136004228e-02 1.4223165237e+00 3.3865670720e+01 -431 4.1536889461e+01 1.7982494827e-02 1.7098292114e+00 4.1454968265e+01 5.3600000000e-02
1.0000000000e+00 48 -15 2.7415565637e+01 -1.8957116466e-01 -1.5215316027e-01 2.7356846713e+01 411 2.8869189078e+01 -2.1004964400e-01 -6.5576042350e-02 2.8807745104e+01 1.2000000000e-03
1.0000000000e+00 49 -15 1.2704914120e+01 -2.5493540701e-01 8.3057550158e-03 1.2577467648e+01 431 1.3773714000e+01 -1.8160873501e-01 -1.6139657793e-01 1.3630158249e+01 5.3600000000e-02
1.0000000000e+00 50 15 2.0086252520e+01 -7.8693299218e-01 1.5349165765e-01 1.9991438861e+01 -431 2.0990216429e+01 -9.4075542963e-01 5.2340112430e-02 2.0876457376e+01 5.3600000000e-02
1.0000000000e+00 51 -15 3.9134262159e+01 -2.9101704638e-01 4.1323156002e-01 3.9090637424e+01 411 4.0526645795e+01 -2.6140762888e-01 5.0819670047e-01 4.0479463220e+01 1.2000000000e-03
1.0000000000e+00 52 15 1.7652435929e+01 -3.3522833221e-01 -4.9683474235e-01 1.7552554860e+01 -411 1.8605266220e+01 -2.8547906397e-01 -5.9046526631e-01 1.8499467685e+01 1.2000000000e-03
1.0000000000e+00 53 15 6.3684167283e+00 6.0307758396e-01 -9.8033320509e-02 6.0849263931e+00 -411 7.0211244153e+00 6.7753130014e-01 -1.3634160992e-01 6.7322411880e+00 1.2000000000e-03
1.0000000000e+00 54 15 3.1431723067e+01 -6.6019404121e-03 -1.0523337016e-01 3.1381284359e+01 -431 3.8492784886e+01 -3.9992426849e-02 -1.5713142061e-01 3.8442076501e+01 5.3600000000e-02
1.0000000000e+00 55 15 2.4664113965e+01 4.3006798072e-01 -5.3998147897e-01 2.4590341394e+01 -431 2.5819772598e+01 4.3433515117e-01 -4.0270936273e-01 2.5737810363e+01 5.3600000000e-02
1.0000000000e+00 56 -15 1.4184404097e+01 -3.3160975442e-01 7.3446961564e-01 1.4049584322e+01 411 1.4287787614e+01 -3.2684899363e-01 6.9306352910e-01 1.4144194167e+01 1.2000000000e-03
1.0000000000e+00 57 15 2.1390795718e+01 2.0384811418e-01 5.4636657850e-02 2.1315827756e+01 -411 2.3266173782e+01 1.5603712351e-01 9.1909998880e-02 2.3190225710e+01 1.2000000000e-03
1.0000000000e+00 58 -15 1.7355347876e+01 -1.2976148921e-01 1.1430756460e-01 1.7263287819e+01 411 1.7985224458e+01 -1.6433313289e-01 2.0339933051e-01 1.7885872727e+01 1.2000000000e-03
1.0000000000e+00 59 15 2.7099892061e+01 5.0294225422e-01 1.3166119166e+00 2.7004826283e+01 -411 2.7595617085e+01 4.5148969350e-01 1.3785298735e+00 2.7493970535e+01 1.2000000000e-03
1.0000000000e+00 60 15 1.8907598368e+01 -1.0035427458e+00 1.6123137354e-01 1.8796464910e+01 -411 1.9075997498e+01 -9.6480303288e-01 1.4104678387e-01 1.8959099729e+01 1.2000000000e-03
1.0000000000e+00 61 -15 1.4167889443e+01 -1.2610538890e+00 -5.9068935352e-01 1.3986880679e+01 411 1.4700535400e+01 -1.3205322185e+00 -7.0257337393e-01 1.4504235500e+01 1.2000000000e-03
1.0000000000e+00 62 15 6.3718426225e+00 -1.2667081024e+00 4.7460201249e-01 5.9677041320e+00 -431 6.4709863004e+00 -1.2442312093e+00 5.6074423532e-01 6.0113364088e+00 5.3600000000e-02
1.0000000000e+00 63 -15 2.0694896926e+01 8.6799714776e-01 1.2690537524e+00 2.0561073732e+01 431 2.1874867463e+01 7.6680220406e-01 1.4302915854e+00 2.1725587541e+01 5.3600000000e-02
1.0000000000e+00 64 15 9.2491685602e+00 -8.4856875648e-01 -5.3937576586e-01 9.0210329005e+00 -411 9.5709141571e+00 -8.6357550911e-01 -4.7015924208e-01 9.3348865277e+00 1.2000000000e-03
1.0000000000e+00 65 -15 1.8192785731e+01 9.5608375659e-01 -3.5260548155e-01 1.8077110846e+01 411 1.9488106724e+01 9.4340977084e-01 -4.1676590801e-01 1.9370779771e+01 1.2000000000e-03
1.0000000000e+00 66 15 1.7605828890e+01 -5.5987043650e-01 -2.0485788586e-01 1.7505790469e+01 -431 2.0966360641e+01 -5.5106786048e-01 -3.3531407147e-01 2.0863777567e+01 5.3600000000e-02
1.0000000000e+00 67 -15 2.0680480509e+01 1.6944136006e-01 1.8427278198e-01 2.0602488150e+01 411 2.1910217990e+01 2.6770563709e-01 1.6086209855e-01 2.1828069785e+01 1.2000000000e-03
1.0000000000e+00 68 -15 3.0102067246e+01 5.4830768815e-01 -4.1412782263e-01 3.0041724651e+01 411 3.1543079994e+01 6.6773149497e-01 -4.1727529080e-01 3.1477776804e+01 1.2000000000e-03
1.0000000000e+00 69 15 2.7048228129e+01 2.0315971581e-02 -1.8918991154e-01 2.6989133925e+01 -411 2.9619314466e+01 5.6681756012e-02 -2.5650833712e-01 2.9559081534e+01 1.2000000000e-03
1.0000000000e+00 70 15 1.2468272178e+01 6.5281953065e-01 -1.3781306770e-01 1.2322968637e+01 -411 1.3118859940e+01 7.2599953290e-01 -2.3171929147e-01 1.2962570657e+01 1.2000000000e-03
1.0000000000e+00 71 15 1.4500153169e+01 -7.7238823578e-01 6.1802442957e-01 1.4356838609e+01 -431 1.5763114672e+01 -8.9216554477e-01 4.8259745660e-01 1.5606792483e+01 5.3600000000e-02
1.0000000000e+00 72 -15 2.2840332402e+01 4.2267030363e-01 -7.2691077952e-01 2.2755584929e+01 411 2.4438239549e+01 4.2582384967e-01 -8.6450556220e-01 2.4347553829e+01 1.2000000000e-03
1.0000000000e+00 73 -15 4.3987092161e+00 -4.9935859943e-01 4.0168489172e-01 3.9725110059e+00 411 4.5166112954e+00 -5.8231371048e-01 4.4197403325e-01 4.0459693951e+00 1.2000000000e-03
1.0000000000e+00 74 15 1.2755399046e+01 4.5002095859e-01 -3.1958137276e-01 1.2618972399e+01 -431 1.5101632082e+01 5.1182323858e-01 -5.3514855002e-01 1.4954463938e+01 5.3600000000e-02
1.0000000000e+00 75 15 1.3604923029e+01 -5.8122450653e-01 4.1028530409e-01 1.3469620832e+01 -431 1.4368770055e+01 -7.2889662673e-01 5.6222998928e-01 1.4203492780e+01 5.3600000000e-02
1.0000000000e+00 76 15 1.0416440417e+01 -5.6342331925e-01 -8.3472536990e-01 1.0214251288e+01 -431 1.1549011449e+01 -5.1405764378e-01 -1.0940269645e+00 1.1315633535e+01 5.3600000000e-02
1.0000000000e+00 77 15 2.1217360880e+01 1.0980887278e+00 1.0530092617e+00 2.1088022336e+01 -411 2.2190667977e+01 1.1765273788e+00 1.1909877471e+00 2.2048301473e+01 1.2000000000e-03
1.0000000000e+00 78 15 5.8202927665e+00 -4.2330955426e-01 -1.4143082379e+00 5.3422148782e+00 -411 6.1961433525e+00 -3.5854563902e-01 -1.5040637368e+00 5.7013990213e+00 1.2000000000e-03
1.0000000000e+00 79 -15 2.0749272354e+01 6.6157909811e-01 -1.0493297748e+00 2.0635804662e+01 411 2.2195570160e+01 6.5673704989e-01 -1.0477121561e+00 2.2082093457e+01 1.2000000000e-03
1.0000000000e+00 80 15 2.9659431639e+01 8.9566757524e-01 9.6867597388e-01 2.9576751719e+01 -431 3.4391841622e+01 1.0296839059e+00 1.3078583964e+00 3.4295088201e+01 5.3600000000e-02
1.0000000000e+00 81 -15 2.0007272403e+01 -3.9264831193e-02 4.7894576403e-01 1.9922422768e+01 411 2.1830351809e+01 1.7758585120e-02 4.9254753367e-01 2.1744559382e+01 1.2000000000e-03
1.0000000000e+00 82 15 1.9859129714e+01 2.1614149369e-01 -1.4676549078e-01 1.9777757366e+01 -411 2.1469000233e+01 3.0639664826e-01 -1.2152032793e-01 2.1384897614e+01 1.2000000000e-03
1.0000000000e+00 83 15 6.4857709776e+00 -2.5451946231e-01 -6.6755756381e-02 6.2320862778e+00 -411 6.7068506873e+00 -2.0822393890e-01 -1.3812808981e-01 6.4361425264e+00 1.2000000000e-03
1.0000000000e+00 84 -15 9.5992303059e+00 4.1130108908e-01 4.5446047338e-02 9.4242718140e+00 411 1.0191341913e+01 3.5179868361e-01 8.8482624973e-02 1.0011812001e+01 1.2000000000e-03
1.0000000000e+00 85 15 2.3909710216e+01 -4.8345078974e-02 -1.4609296881e+00 2.3798749978e+01 -411 2.5687313644e+01 -9.9236163480e-02 -1.6434842359e+00 2.5566222150e+01 1.2000000000e-03
1.0000000000e+00 86 15 2.5978771638e+01 -1.9970230631e+00 1.1824538479e+00 2.5813817778e+01 -431 2.6350984861e+01 -1.9386007597e+00 1.1541084785e+00 2.6180322973e+01 5.3600000000e-02
1.0000000000e+00 87 -15 3.6333221955e+00 -1.6727428515e-01 -2.5265966051e-01 3.1546986026e+00 411 3.6738453448e+00 -1.4654488462e-01 -2.1797676278e-01 3.1516140945e+00 1.2000000000e-03
1.0000000000e+00 88 -15 4.1094458171e+01 1.9321787097e+00 -7.5157618108e-01 4.1003648884e+01 411 4.5261401952e+01 2.1087073901e+00 -8.6600390099e-01 4.5165278900e+01 1.2000000000e-03
1.0000000000e+00 89 15 1.0147178633e+01 -1.5076042670e-01 -1.4302297116e-01 9.9882411175e+00 -411 1.0914007985e+01 -2.3828355499e-01 -1.9529882966e-01 1.0748263612e+01 1.2000000000e-03
1.0000000000e+00 90 15 5.8424254818e+00 2.3978204620e-01 1.0901063295e-02 5.5605064459e+00 -411 6.1652902259e+00 1.8672971735e-01 7.9687629969e-02 5.8714654490e+00 1.2000000000e-03
1.0000000000e+00 91 15 1.6470389109e+01 7.7293252967e-01 -2.4521376494e-01 1.6354176030e+01 -411 1.6512296732e+01 7.5631462166e-01 -2.2534301734e-01 1.6387119123e+01 1.2000000000e-03
1.0000000000e+00 92 -15 4.0812586290e+01 6.4270292357e-01 6.5273402274e-01 4.0763598733e+01 431 4.1809973416e+01 5.7355383456e-01 7.6037939197e-01 4.1752745818e+01 5.3600000000e-02
1.0000000000e+00 93 -15 8.9138439595e+00 4.1425102960e-01 3.6730823363e-01 8.7173967197e+00 411 9.3956118094e+00 4.3253236558e-01 2.9212904567e-01 9.1929113290e+00 1.2000000000e-03
1.0000000000e+00 94 -15 4.2393425329e+01 -5.0797953526e-01 -1.0306721783e+00 4.2340584473e+01 411 4.3737726697e+01 -5.9605361602e-01 -1.1119676119e+00 4.3679531886e+01 1.2000000000e-03
1.0000000000e+00 95 15 2.0274164546e+01 1.9706783609e+00 -9.5820603844e-02 2.0099549844e+01 -411 2.2180737621e+01 2.1082694735e+00 -1.4364655410e-01 2.2000550174e+01 1.2000000000e-03
1.0000000000e+00 96 15 2.6057197548e+01 -3.2187540338e-02 -1.3301150223e+00 2.5962477015e+01 -411 2.8619406125e+01 -8.7481845332e-02 -1.4626914035e+00 2.8520655827e+01 1.2000000000e-03
1.0000000000e+00 97 -15 7.0105440715e+00 -4.0236629643e-02 1.0647948075e-01 6.7806844787e+00 431 8.2196235115e+00 1.2295560143e-01 1.3758624984e-01 7.9782961674e+00 5.3600000000e-02
1.0000000000e+00 98 15 3.6779877224e+01 -5.1829702182e-01 2.8448330786e-01 3.6732175497e+01 -411 3.8372751579e+01 -5.7971040320e-01 2.1186499037e-01 3.8322208102e+01 1.2000000000e-03
1.0000000000e+00 99 -15 2.6017879726e+01 -1.2475131011e-01 -1.4996596475e+00 2.5913479778e+01 411 2.6887556386e+01 -1.9049352226e-01 -1.4866078599e+00 2.6780569799e+01 1.2000000000e-03
1.0000000000e+00 100 15 1.0378212889e+01 -3.1219426790e-01 3.5789410129e-01 1.0213944391e+01 -411 1.0501276404e+01 -2.7079305992e-01 3.2431719558e-01 1.0324864001e+01 1.2000000000e-03
1.0000000000e+00 101 -15 4.8585345440e+01 1.8989574347e-01 1.4650867726e-01 4.8552252029e+01 411 5.2103880154e+01 2.9253365827e-01 1.5027116284e-01 5.2069287405e+01 1.2000000000e-03
1.0000000000e+00 102 15 1.3906641300e+01 -1.2745200939e-01 2.9814701098e-02 1.3792042996e+01 -411 1.4859544087e+01 -5.0586975172e-02 6.3789271458e-02 1.4741232764e+01 1.2000000000e-03
1.0000000000e+00 103 15 1.3971017218e+01 1.5999522787e+00 4.3068281708e-01 1.3758157501e+01 -411 1.4315052547e+01 1.5840736995e+00 3.8332045552e-01 1.4098546962e+01 1.2000000000e-03
1.0000000000e+00 104 -15 1.0315599151e+01 -1.0674305042e+00 -3.1562971383e-02 1.0105151776e+01 411 1.0874398305e+01 -1.2055592483e+00 -8.3729286224e-02 1.0644091124e+01 1.2000000000e-03
1.0000000000e+00 105 15 1.5933664719e+01 1.3026816549e+00 -6.3727935670e-01 1.5767735335e+01 -411 1.6843624577e+01 1.2828800663e+00 -6.8314677642e-01 1.6676322711e+01 1.2000000000e-03
1.0000000000e+00 106 15 1.2186467149e+01 -5.9938937209e-01 -1.9679219878e-01 1.2039721652e+01 -411 1.3005434064e+01 -6.0157821199e-01 -2.9377187414e-01 1.2852923324e+01 1.2000000000e-03
1.0000000000e+00 107 -15 1.8003467008e+01 6.1522121979e-01 -5.3838577690e-01 1.7896909750e+01 411 1.8060359544e+01 6.1993045678e-01 -5.0901856160e-01 1.7945408723e+01 1.2000000000e-03
1.0000000000e+00 108 -15 3.8824324116e+01 -6.8214831291e-01 -1.2047533420e+00 3.8758925383e+01 431 4.3683090560e+01 -8.7456438997e-01 -1.5255102210e+00 4.3603272856e+01 5.3600000000e-02
1.0000000000e+00 109 15 5.6843268364e+01 6.7347528332e-02 -7.5661259443e-01 5.6810413400e+01 -411 6.2765912481e+01 9.8535736614e-02 -8.5528175677e-01 6.2732153434e+01 1.2000000000e-03
1.0000000000e+00 110 -15 1.5909677974e+01 7.8556964641e-02 4.0932866720e-01 1.5804652567e+01 411 1.6108674697e+01 1.0473507974e-01 3.5916562977e-01 1.5995435354e+01 1.2000000000e-03
1.0000000000e+00 111 15 1.7281267014e+01 -1.3051888669e+00 -5.8667431995e-01 1.7130014464e+01 -411 1.8326960873e+01 -1.3170916740e+00 -6.8851022380e-01 1.8170669748e+01 1.2000000000e-03
1.0000000000e+00 112 15 3.6037210598e+01 -4.6455045460e-01 7.1167976192e-01 3.5983345636e+01 -411 3.6785522033e+01 -4.5715952194e-01 6.5315273065e-01 3.6729328186e+01 1.2000000000e-03
1.0000000000e+00 113 15 3.5773809600e+01 -5.0971161781e-01 -1.3527192331e-01 3.5725764646e+01 -431 3.8191336090e+01 -6.1948993125e-01 2.4105657639e-02 3.8135532652e+01 5.3600000000e-02
1.0000000000e+00 114 -15 1.6147324894e+01 4.3102467111e-02 -5.4052560665e-01 1.6040105553e+01 411 1.6929893784e+01 1.3086033520e-01 -5.2615951747e-01 1.6817605547e+01 1.2000000000e-03
